#doc source pos typeindex type topic
#alpha : 0.07588863700944166 0.08252461808819693 0.02465189813184513 0.06883597910497363 0.1008975006436197 0.07226123601494343 0.17483335339433567 0.09635722697254803 0.1202292566554013 0.13154458014074033 0.06523519113294725 0.12859450590605384 0.14085505988809907 0.09451530750339134 0.06214366374082367 0.09427541544661898 0.1224233145430571 0.11341160341208258 0.04545868939718924 0.17717228499814913 0.11298367259690491 0.06311464863082268 0.10822377894060063 0.09969158547575743 0.1088782320245267 0.1571849957621863 0.0510603614084028 0.08701975301120149 0.07942729675625342 0.04955354691597576 0.06825062507902484 0.06860437573833209 0.07058946507059928 0.04840050301296665 0.09461096184851571 0.0763346859039285 0.153594778306716 0.09055369394789708 0.082665255035894 0.07302074121236975 0.05095529949286401 0.09885313462677224 0.094317667829873 0.12636391294490376 0.0685987767811533 0.10509716588645605 0.11443714675714756 0.07643935761637204 0.06222379334657256 0.06574820833298438 0.051208428843817766 0.05031422539636882 0.09115287387773598 0.09010407073791316 0.06618026390379048 0.05380819274356734 0.08622118137304537 0.09260564374619171 0.058813663128003 0.06653989762530985 0.11108766012568924 0.09419726432817434 0.08839392783607226 0.045359074133015403 0.023299110200213614 0.02215107173789275 0.10347595999412112 0.04318283409039461 0.06175301323500136 0.1446142050237515 0.06705935744077356 0.08671098249034531 0.17089043988102698 0.08274447087615747 0.05424675428123052 0.1650235544883526 0.05870190582371312 0.07963739852627111 0.1263623898905193 0.08206304327458881 0.0886317111398562 0.06330716139076475 0.07908395457035526 0.06277220054195641 0.07297784676607165 0.053267928244920854 0.06589642036838819 0.12006492300198604 0.13413933629873775 0.08059198725577733 0.09939537370671073 0.09688404212879229 0.11333361418070949 0.08749223098959272 0.10026170737147835 0.1532793779237251 0.10215465932621706 0.08123049625084171 0.05709590527266362 0.045115740920796565 
#beta : 0.008121856907500622
0 ../../data/input/txt/1.txt 86 7 solemn 24
0 ../../data/input/txt/1.txt 87 78 vows 24
0 ../../data/input/txt/1.txt 88 79 singeth 3
0 ../../data/input/txt/1.txt 89 70 mournful 62
0 ../../data/input/txt/1.txt 90 80 sadness 34
0 ../../data/input/txt/1.txt 91 33 doth 80
0 ../../data/input/txt/1.txt 92 81 lose 19
0 ../../data/input/txt/1.txt 93 82 worm 97
0 ../../data/input/txt/1.txt 94 33 doth 80
0 ../../data/input/txt/1.txt 95 60 woo 80
0 ../../data/input/txt/1.txt 96 83 mortal 41
0 ../../data/input/txt/1.txt 97 84 claims 24
0 ../../data/input/txt/1.txt 98 85 living 75
0 ../../data/input/txt/1.txt 99 29 bride 75
0 ../../data/input/txt/1.txt 100 86 married 3
0 ../../data/input/txt/1.txt 101 87 eventide 15
0 ../../data/input/txt/1.txt 102 55 merry 24
0 ../../data/input/txt/1.txt 103 13 damsel 64
0 ../../data/input/txt/1.txt 104 88 knight 75
0 ../../data/input/txt/1.txt 105 89 true 17
0 ../../data/input/txt/1.txt 106 90 coquettish 24
0 ../../data/input/txt/1.txt 107 91 seemeth 62
0 ../../data/input/txt/1.txt 108 92 vain 15
0 ../../data/input/txt/1.txt 109 93 sue 34
0 ../../data/input/txt/1.txt 110 94 application 9
0 ../../data/input/txt/1.txt 111 95 reading 97
0 ../../data/input/txt/1.txt 112 96 roll 59
0 ../../data/input/txt/1.txt 113 97 bringing 98
0 ../../data/input/txt/1.txt 114 27 thee 75
0 ../../data/input/txt/1.txt 115 98 justice 69
0 ../../data/input/txt/1.txt 116 99 marshalling 34
0 ../../data/input/txt/1.txt 117 100 thy 75
0 ../../data/input/txt/1.txt 118 101 art 75
0 ../../data/input/txt/1.txt 119 102 human 41
0 ../../data/input/txt/1.txt 120 103 solo 49
0 ../../data/input/txt/1.txt 121 104 cold 56
0 ../../data/input/txt/1.txt 122 105 lone 33
0 ../../data/input/txt/1.txt 123 106 wilt 75
0 ../../data/input/txt/1.txt 124 107 kind 36
0 ../../data/input/txt/1.txt 125 108 companion 75
0 ../../data/input/txt/1.txt 126 109 reap'st 24
0 ../../data/input/txt/1.txt 127 110 hast 75
0 ../../data/input/txt/1.txt 128 111 sown 41
0 ../../data/input/txt/1.txt 129 110 hast 75
0 ../../data/input/txt/1.txt 130 112 silent 15
0 ../../data/input/txt/1.txt 131 113 hours 53
0 ../../data/input/txt/1.txt 132 114 minutes 51
0 ../../data/input/txt/1.txt 133 115 deal 41
0 ../../data/input/txt/1.txt 134 116 sad 64
0 ../../data/input/txt/1.txt 135 117 reflection 64
0 ../../data/input/txt/1.txt 136 118 wailing 19
0 ../../data/input/txt/1.txt 137 119 song 46
0 ../../data/input/txt/1.txt 138 120 there's 24
0 ../../data/input/txt/1.txt 139 121 sarah 3
0 ../../data/input/txt/1.txt 140 122 eliza 97
0 ../../data/input/txt/1.txt 141 123 emeline 41
0 ../../data/input/txt/1.txt 142 28 fair 41
0 ../../data/input/txt/1.txt 143 124 harriet 24
0 ../../data/input/txt/1.txt 144 125 susan 17
0 ../../data/input/txt/1.txt 145 126 curling 33
0 ../../data/input/txt/1.txt 146 127 thine 75
0 ../../data/input/txt/1.txt 147 128 eyes 19
0 ../../data/input/txt/1.txt 148 129 sadly 38
0 ../../data/input/txt/1.txt 149 130 blinded 91
